TIMESTAMP | MOOD QUERY (V,A,C,N,O) | NEIGHBOR 1 (Dist) | NEIGHBOR 2 (Dist) | WEIGHTS | CRITICAL PARAMS
---------------------------------------------------------------------------------------------------
[1080] Query: 0.80,1.00,0.00 | WINNER: face_blush (Dist: 1.42)
[1095] Query: 0.80,1.00,-0.00 | WINNER: face_blush (Dist: 1.42)
[1110] Query: -0.72,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.13)
[1125] Query: -0.81,1.00,-0.00 | WINNER: face_crying_wail (Dist: 0.08)
[1140] Query: -0.81,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.08)
[1155] Query: -0.81,1.00,-0.00 | WINNER: face_crying_wail (Dist: 0.08)
[1170] Query: -0.81,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.08)
[1185] Query: -0.81,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.08)
[1200] Query: -0.81,1.00,-0.00 | WINNER: face_crying_wail (Dist: 0.08)
[1215] Query: -0.81,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.08)
[1230] Query: -0.96,1.00,-0.00 | WINNER: face_crying_wail (Dist: 0.05)
[1245] Query: -1.00,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.05)
[1260] Query: -1.00,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.05)
[1275] Query: -1.00,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.05)
[1290] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.64)
[1305] Query: -1.00,1.00,0.00 | WINNER: face_text_sad_D (Dist: 0.83)
[1320] Query: -1.00,1.00,0.00 | WINNER: face_text_sad_D (Dist: 0.83)
[1335] Query: -1.00,1.00,0.00 | WINNER: face_text_sad_D (Dist: 0.73)
[1350] Query: -1.00,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.49)
[1365] Query: -1.00,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.44)
[1380] Query: -1.00,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.44)
[1395] Query: -1.00,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.47)
[1410] Query: -1.00,1.00,0.00 | WINNER: face_crying_wail (Dist: 0.49)
[1425] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.60)
[1440] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1455] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1470] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1485] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1500] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1515] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1530] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1545] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1560] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1575] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1590] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1605] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1620] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1635] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1650] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1665] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1680] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1695] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1710] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1725] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1740] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1755] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1770] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1785] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
[1800] Query: -1.00,1.00,0.00 | WINNER: face_crying_tears (Dist: 0.63)
