0.00	X
0.10	D
0.28	B
0.42	A
0.50	B
0.59	G
0.73	C
1.01	A
1.09	C
1.16	H
1.29	C
1.57	A
1.78	C
2.23	H
2.37	B
2.65	C
3.35	B
4.33	X
4.46	B
4.64	C
4.71	H
4.78	F
4.85	B
4.99	E
5.27	F
5.34	C
5.48	B
5.97	C
6.32	B
6.46	H
6.53	C
6.60	A
6.85	B
6.89	C
7.00	B
7.49	F
7.98	B
8.33	X
8.90	B
9.03	G
9.17	B
9.45	C
9.59	G
9.73	E
9.80	C
9.87	B
10.15	C
10.36	B
10.50	F
10.57	C
10.71	D
10.85	B
11.48	C
11.55	G
11.69	A
11.77	C
11.86	B
12.49	X
13.13	C
13.18	B
13.37	F
13.51	B
13.65	C
13.79	E
13.86	F
13.93	B
14.14	D
14.39	C
14.46	B
14.98	C
15.12	B
15.40	C
15.61	B
16.10	X
16.99	B
17.61	F
17.82	B
17.96	D
18.31	F
18.38	C
18.52	E
18.87	F
18.94	C
19.01	B
19.08	A
19.16	B
19.29	A
19.37	C
19.48	B
19.76	C
19.90	B
21.51	C
21.65	B
22.35	C
22.77	B
22.98	C
23.05	G
23.12	B
23.19	C
23.33	A
23.81	B
24.20	C
24.48	B
25.11	C
25.42	E
25.50	F
25.95	B
26.30	X
26.49	B
26.84	F
26.91	B
26.98	C
27.26	B
27.33	G
27.75	H
27.89	C
28.03	B
28.55	D
28.74	C
28.79	B
29.60	C
29.81	B
30.86	F
31.10	B
31.16	D
31.39	C
31.45	B
32.19	C
32.39	B
32.88	C
33.14	B
33.28	C
33.70	B
33.77	C
34.05	B
34.33	X
34.97	B
35.39	C
35.46	B
35.53	D
35.88	E
36.44	C
36.51	B
36.58	A
36.66	B
36.97	C
37.04	A
37.14	C
37.43	B
38.18	C
38.24	G
39.27	B
40.32	C
40.81	B
42.00	X
43.72	B
43.77	D
44.17	E
44.59	B
44.73	E
44.87	C
45.01	B
45.08	A
45.16	B
45.45	C
45.52	A
45.82	B
48.63	X
48.87	B
49.08	E
49.43	A
49.52	B
51.82	X
52.14	B
52.52	F
52.59	A
52.67	C
52.85	B
53.24	C
53.31	B
53.38	H
53.45	C
53.52	B
53.59	A
53.65	B
53.71	A
53.79	B
54.05	A
54.13	E
54.19	B
54.53	C
54.74	B
55.02	X
55.14	B
55.39	D
55.53	B
55.95	E
56.09	F
56.30	X
56.75	C
57.01	B
57.08	X
57.30	B
57.74	F
57.81	B
57.95	E
58.16	C
58.44	B
59.19	C
59.60	B
59.81	C
60.09	B
60.23	A
60.66	C
60.83	B
62.03	F
62.21	B
62.35	E
62.98	C
63.05	B
63.75	C
64.03	B
64.10	D
64.66	C
65.01	B
65.08	C
65.78	B
66.41	C
66.48	B
67.04	C
67.25	A
67.33	B
67.81	C
68.02	B
68.23	C
69.00	B
69.07	A
69.65	B
69.73	A
70.07	C
70.22	E
70.26	F
70.52	C
70.66	G
71.29	B
71.50	F
71.57	C
71.64	B
71.78	G
72.86	F
73.22	G
74.55	B
75.42	F
75.61	B
75.68	C
75.82	B
75.89	X
76.17	B
76.34	C
76.55	B
77.20	D
77.34	B
77.48	X
77.71	B
77.78	H
77.99	B
78.06	C
78.20	B
78.90	F
78.97	C
79.04	B
79.11	X
79.23	B
79.95	E
80.23	B
80.72	C
80.79	B
81.28	E
81.42	B
81.63	C
81.77	A
82.29	D
82.41	C
82.47	A
82.59	D
82.71	B
83.20	D
83.41	B
83.55	C
83.76	B
85.47	X
85.68	B
86.33	F
86.54	E
86.75	B
86.89	X
87.40	B
88.46	E
88.53	B
89.51	C
89.58	F
89.65	B
90.21	X
90.46	B
90.78	A
90.92	B
91.15	E
91.22	F
91.29	B
91.78	F
91.99	B
92.06	A
92.14	B
92.95	X
93.12	B
93.53	C
93.60	E
93.67	B
93.88	E
93.95	B
94.02	F
94.72	C
94.79	G
97.24	B
97.38	F
97.66	B
99.06	F
99.20	B
99.34	E
100.18	B
102.00	C
102.07	B
102.14	C
102.21	B
102.42	C
103.40	B
103.96	C
104.31	B
104.66	E
105.43	F
105.92	B
106.83	C
106.90	G
107.54	B
107.59	G
108.97	B
109.25	E
109.39	B
110.09	H
110.51	B
110.77	E
111.67	F
112.23	B
112.51	X
113.54	D
114.30	C
114.38	B
115.11	F
115.18	B
116.09	C
116.30	B
117.17	C
117.38	B
118.08	A
118.16	C
118.61	B
119.17	X
119.29	B
119.38	F
119.59	B
119.94	C
120.08	G
120.22	A
120.30	B
121.93	C
122.28	G
123.61	B
124.66	C
124.73	G
126.20	B
126.83	A
127.32	B
127.69	F
127.90	B
128.39	E
128.67	F
128.85	B
129.87	F
130.36	B
131.13	X
131.29	B
131.81	C
132.02	B
132.09	D
132.23	B
132.51	C
132.58	B
133.07	A
133.15	F
133.34	B
133.62	G
133.69	B
133.90	C
134.04	E
134.11	B
134.53	F
134.60	B
135.02	A
135.14	B
135.78	X
135.85	X
