frame,mode,viseme,open,openT,wide,wideT,round,roundT,smile,smileT,width,height,area,areaT,fill,teeth
83,sprite_expr,X,0.0551,0.0500,0.3994,0.4500,0.0253,0.0000,0.7648,0.7800,0.00,0.00,0.00,2217.74,0,0
85,sprite_expr,X,0.0545,0.0500,0.4053,0.4500,0.0224,0.0000,0.7666,0.7800,0.00,0.00,0.00,2211.22,0,0
87,sprite_expr,X,0.0540,0.0500,0.4104,0.4500,0.0198,0.0000,0.7681,0.7800,0.00,0.00,0.00,2205.45,0,0
89,sprite_expr,X,0.0535,0.0500,0.4150,0.4500,0.0175,0.0000,0.7695,0.7800,0.00,0.00,0.00,2200.35,0,0
91,sprite_expr,X,0.0531,0.0500,0.4190,0.4500,0.0155,0.0000,0.7707,0.7800,0.00,0.00,0.00,2195.83,0,0
93,sprite_expr,X,0.0527,0.0500,0.4226,0.4500,0.0137,0.0000,0.7718,0.7800,0.00,0.00,0.00,2191.84,0,0
95,sprite_expr,X,0.0524,0.0500,0.4258,0.4500,0.0121,0.0000,0.7727,0.7800,0.00,0.00,0.00,2188.31,0,0
97,sprite_expr,X,0.0521,0.0500,0.4286,0.4500,0.0107,0.0000,0.7736,0.7800,0.00,0.00,0.00,2185.18,0,0
99,sprite_expr,X,0.0519,0.0500,0.4310,0.4500,0.0095,0.0000,0.7743,0.7800,0.00,0.00,0.00,2182.42,0,0
101,sprite_expr,X,0.0517,0.0500,0.4332,0.4500,0.0084,0.0000,0.7750,0.7800,0.00,0.00,0.00,2179.98,0,0
103,sprite_expr,X,0.0515,0.0500,0.4352,0.4500,0.0074,0.0000,0.7756,0.7800,0.00,0.00,0.00,2177.82,0,0
105,sprite_expr,X,0.0513,0.0500,0.4369,0.4500,0.0066,0.0000,0.7761,0.7800,0.00,0.00,0.00,2175.91,0,0
107,sprite_expr,X,0.0512,0.0500,0.4384,0.4500,0.0058,0.0000,0.7765,0.7800,0.00,0.00,0.00,2174.22,0,0
109,sprite_expr,X,0.0510,0.0500,0.4397,0.4500,0.0051,0.0000,0.7769,0.7800,0.00,0.00,0.00,2172.72,0,0
111,sprite_expr,X,0.0509,0.0500,0.4409,0.4500,0.0045,0.0000,0.7773,0.7800,0.00,0.00,0.00,2171.40,0,0
113,sprite_expr,X,0.0508,0.0500,0.4420,0.4500,0.0040,0.0000,0.7776,0.7800,0.00,0.00,0.00,2170.23,0,0
115,sprite_expr,X,0.0507,0.0500,0.4429,0.4500,0.0036,0.0000,0.7779,0.7800,0.00,0.00,0.00,2169.20,0,0
117,sprite_expr,X,0.0506,0.0500,0.4437,0.4500,0.0031,0.0000,0.7781,0.7800,0.00,0.00,0.00,2168.29,0,0
119,sprite_expr,X,0.0506,0.0500,0.4444,0.4500,0.0028,0.0000,0.7783,0.7800,0.00,0.00,0.00,2167.48,0,0
121,sprite_expr,X,0.0505,0.0500,0.4451,0.4500,0.0025,0.0000,0.7785,0.7800,0.00,0.00,0.00,2166.76,0,0
123,sprite_expr,X,0.0504,0.0500,0.4457,0.4500,0.0022,0.0000,0.7787,0.7800,0.00,0.00,0.00,2166.13,0,0
125,sprite_expr,X,0.0504,0.0500,0.4462,0.4500,0.0019,0.0000,0.7788,0.7800,0.00,0.00,0.00,2165.57,0,0
127,sprite_expr,X,0.0503,0.0500,0.4466,0.4500,0.0017,0.0000,0.7790,0.7800,0.00,0.00,0.00,2165.08,0,0
129,sprite_expr,X,0.0503,0.0500,0.4470,0.4500,0.0015,0.0000,0.7791,0.7800,0.00,0.00,0.00,2164.64,0,0
131,sprite_expr,X,0.0503,0.0500,0.4473,0.4500,0.0013,0.0000,0.7792,0.7800,0.00,0.00,0.00,2164.25,0,0
133,sprite_expr,X,0.0502,0.0500,0.4476,0.4500,0.0012,0.0000,0.7793,0.7800,0.00,0.00,0.00,2163.91,0,0
135,blob,X,0.0505,0.0600,0.4454,0.3500,0.0023,0.0500,0.7786,0.7500,119.39,14.35,48295.11,2163.95,1,1
137,blob,X,0.0509,0.0600,0.4410,0.3500,0.0045,0.0500,0.7773,0.7500,118.99,14.36,48177.32,2164.78,1,1
139,blob,X,0.0515,0.0600,0.4352,0.3500,0.0074,0.0500,0.7756,0.7500,118.46,14.36,47946.75,2166.47,1,1
141,blob,D,0.0643,0.5500,0.4338,0.5500,0.0106,0.0500,0.7724,0.7000,118.15,15.29,47537.39,2179.51,1,1
143,blob,D,0.0880,0.5500,0.4366,0.5500,0.0139,0.0500,0.7681,0.7000,118.14,17.04,46734.75,2215.99,1,1
145,blob,D,0.1179,0.5500,0.4420,0.5500,0.0172,0.0500,0.7631,0.7000,118.32,19.27,45323.46,2278.34,1,1
147,blob,D,0.1508,0.5500,0.4489,0.5500,0.0203,0.0500,0.7579,0.7000,118.64,21.75,43229.33,2363.97,1,1
149,blob,D,0.1846,0.5500,0.4565,0.5500,0.0233,0.0500,0.7528,0.7000,119.04,24.31,40528.38,2468.09,1,1
151,blob,B,0.2140,0.1000,0.4622,0.3000,0.0256,0.0000,0.7473,0.6500,119.36,26.50,37397.41,2582.58,1,1
153,blob,B,0.2291,0.1000,0.4606,0.3000,0.0262,0.0000,0.7408,0.6500,119.26,27.51,34142.19,2687.87,1,1
155,blob,B,0.2346,0.1000,0.4545,0.3000,0.0258,0.0000,0.7336,0.6500,118.86,27.74,31161.76,2773.23,1,1
157,blob,B,0.2339,0.1000,0.4456,0.3000,0.0247,0.0000,0.7264,0.6500,118.26,27.47,28752.71,2835.39,1,1
